component_id,timestamp,temperature,vibration,strain,cable_state,age_years,location,wind_speed,humidity,risk_score_true
HOOK_97YO,2016-01-01 00:00:00,4.81,0.1418,130.84,Normal,97,Pulga_Line,7.5,53.9,0.284
HOOK_97YO,2016-01-01 04:00:00,9.9,0.1861,127.87,Warning,97,Pulga_Line,1.8,54.0,0.348
HOOK_97YO,2016-01-01 08:00:00,17.42,0.2162,134.51,Warning,97,Pulga_Line,1.7,53.4,0.435
HOOK_97YO,2016-01-01 12:00:00,20.64,0.1836,133.69,Warning,97,Pulga_Line,3.4,63.4,0.442
HOOK_97YO,2016-01-01 16:00:00,17.75,0.1005,130.87,Warning,97,Pulga_Line,3.8,49.5,0.369
HOOK_97YO,2016-01-01 20:00:00,9.57,0.123,126.34,Warning,97,Pulga_Line,6.1,40.1,0.309
HOOK_97YO,2016-01-02 00:00:00,6.66,0.1783,129.92,Warning,97,Pulga_Line,2.6,67.3,0.319
HOOK_97YO,2016-01-02 04:00:00,10.41,0.1951,129.34,Warning,97,Pulga_Line,6.1,55.8,0.359
HOOK_97YO,2016-01-02 08:00:00,19.51,0.2037,138.17,Warning,97,Pulga_Line,6.6,57.5,0.449
HOOK_97YO,2016-01-02 12:00:00,20.89,0.1414,133.04,Warning,97,Pulga_Line,4.2,57.8,0.42
HOOK_97YO,2016-01-02 16:00:00,15.04,0.143,132.62,Warning,97,Pulga_Line,6.0,49.2,0.372
HOOK_97YO,2016-01-02 20:00:00,8.93,0.1374,134.73,Warning,97,Pulga_Line,6.2,75.3,0.32
HOOK_97YO,2016-01-03 00:00:00,4.85,0.1646,127.43,Normal,97,Pulga_Line,7.8,68.6,0.294
HOOK_97YO,2016-01-03 04:00:00,12.36,0.2006,133.74,Warning,97,Pulga_Line,3.7,54.5,0.383
HOOK_97YO,2016-01-03 08:00:00,23.19,0.2999,145.99,Degradation,97,Pulga_Line,8.3,73.3,0.541
HOOK_97YO,2016-01-03 12:00:00,21.8,0.2219,136.44,Warning,97,Pulga_Line,6.5,44.9,0.476
HOOK_97YO,2016-01-03 16:00:00,16.97,0.096,129.05,Warning,97,Pulga_Line,6.1,64.1,0.358
HOOK_97YO,2016-01-03 20:00:00,11.28,0.1166,130.76,Warning,97,Pulga_Line,5.9,58.8,0.324
HOOK_97YO,2016-01-04 00:00:00,5.3,0.2488,137.01,Warning,97,Pulga_Line,6.3,60.5,0.354
HOOK_97YO,2016-01-04 04:00:00,10.14,0.2073,136.99,Warning,97,Pulga_Line,5.6,47.8,0.372
HOOK_97YO,2016-01-04 08:00:00,21.99,0.3657,149.6,Degradation,97,Pulga_Line,10.8,51.5,0.571
HOOK_97YO,2016-01-04 12:00:00,23.34,0.2082,142.74,Warning,97,Pulga_Line,4.0,53.8,0.488
HOOK_97YO,2016-01-04 16:00:00,17.83,0.1464,130.38,Warning,97,Pulga_Line,4.3,66.0,0.395
HOOK_97YO,2016-01-04 20:00:00,7.14,0.0912,135.0,Normal,97,Pulga_Line,3.6,56.3,0.28
HOOK_97YO,2016-01-05 00:00:00,7.8,0.2213,140.73,Warning,97,Pulga_Line,8.6,73.1,0.364
HOOK_97YO,2016-01-05 04:00:00,12.35,0.251,142.91,Warning,97,Pulga_Line,2.8,46.2,0.42
HOOK_97YO,2016-01-05 08:00:00,21.79,0.2512,141.26,Warning,97,Pulga_Line,8.0,61.2,0.497
HOOK_97YO,2016-01-05 12:00:00,19.19,0.1617,133.61,Warning,97,Pulga_Line,4.2,67.3,0.418
HOOK_97YO,2016-01-05 16:00:00,18.49,0.1356,131.74,Warning,97,Pulga_Line,7.3,50.7,0.396
