component_id,timestamp,temperature,vibration,strain,cable_state,age_years,location,wind_speed,humidity,risk_score_true
HOOK_97YO,2018-01-01 00:00:00,12.54,0.363,234.57,Degradation,97,Pulga_Line,5.4,57.3,0.58
HOOK_97YO,2018-01-01 04:00:00,13.81,0.4076,242.88,Degradation,97,Pulga_Line,8.3,61.7,0.624
HOOK_97YO,2018-01-01 08:00:00,24.34,0.3383,235.51,Degradation,97,Pulga_Line,4.2,65.1,0.665
HOOK_97YO,2018-01-01 12:00:00,23.22,0.2646,227.03,Degradation,97,Pulga_Line,3.3,68.5,0.606
HOOK_97YO,2018-01-01 16:00:00,19.01,0.2376,223.28,Degradation,97,Pulga_Line,5.2,64.4,0.552
HOOK_97YO,2018-01-01 20:00:00,11.39,0.2139,227.77,Warning,97,Pulga_Line,7.3,50.0,0.48
HOOK_97YO,2018-01-02 00:00:00,13.92,0.3617,240.91,Degradation,97,Pulga_Line,10.5,65.4,0.597
HOOK_97YO,2018-01-02 04:00:00,18.32,0.3483,230.85,Degradation,97,Pulga_Line,3.1,59.5,0.616
HOOK_97YO,2018-01-02 08:00:00,24.07,0.3184,233.18,Degradation,97,Pulga_Line,4.3,74.4,0.65
HOOK_97YO,2018-01-02 12:00:00,30.48,0.3218,239.11,Degradation,97,Pulga_Line,6.9,79.7,0.711
HOOK_97YO,2018-01-02 16:00:00,17.85,0.1722,218.51,Degradation,97,Pulga_Line,4.8,57.0,0.501
HOOK_97YO,2018-01-02 20:00:00,19.02,0.4204,247.46,Degradation,97,Pulga_Line,11.4,68.8,0.679
HOOK_97YO,2018-01-03 00:00:00,13.64,0.3215,228.57,Degradation,97,Pulga_Line,4.9,52.2,0.56
HOOK_97YO,2018-01-03 04:00:00,15.42,0.3055,232.52,Degradation,97,Pulga_Line,6.4,77.3,0.57
HOOK_97YO,2018-01-03 08:00:00,26.42,0.398,238.12,Degradation,97,Pulga_Line,8.9,52.1,0.719
HOOK_97YO,2018-01-03 12:00:00,23.65,0.2795,228.18,Degradation,97,Pulga_Line,3.7,68.8,0.619
HOOK_97YO,2018-01-03 16:00:00,19.67,0.2539,229.88,Degradation,97,Pulga_Line,10.1,69.5,0.574
HOOK_97YO,2018-01-03 20:00:00,15.24,0.2721,227.82,Degradation,97,Pulga_Line,7.6,62.9,0.545
HOOK_97YO,2018-01-04 00:00:00,11.41,0.2701,231.3,Degradation,97,Pulga_Line,3.4,51.1,0.515
HOOK_97YO,2018-01-04 04:00:00,14.79,0.3325,237.21,Degradation,97,Pulga_Line,8.3,59.9,0.584
HOOK_97YO,2018-01-04 08:00:00,28.6,0.4439,245.52,Degradation,97,Pulga_Line,4.4,51.4,0.77
HOOK_97YO,2018-01-04 12:00:00,24.82,0.2703,225.15,Degradation,97,Pulga_Line,10.6,57.5,0.621
HOOK_97YO,2018-01-04 16:00:00,20.91,0.2004,220.94,Degradation,97,Pulga_Line,5.2,65.9,0.545
HOOK_97YO,2018-01-04 20:00:00,11.98,0.2067,216.27,Warning,97,Pulga_Line,2.2,60.0,0.469
HOOK_97YO,2018-01-05 00:00:00,12.25,0.3567,237.5,Degradation,97,Pulga_Line,6.2,61.3,0.577
HOOK_97YO,2018-01-05 04:00:00,17.57,0.3541,237.65,Degradation,97,Pulga_Line,4.6,65.2,0.62
HOOK_97YO,2018-01-05 08:00:00,21.52,0.3232,230.39,Degradation,97,Pulga_Line,6.4,62.5,0.628
HOOK_97YO,2018-01-05 12:00:00,34.53,0.4528,253.17,Critical,97,Pulga_Line,12.0,62.6,0.832
HOOK_97YO,2018-01-05 16:00:00,24.36,0.2861,229.81,Degradation,97,Pulga_Line,6.7,61.1,0.631
HOOK_97YO,2018-01-05 20:00:00,11.07,0.2391,227.04,Warning,97,Pulga_Line,7.3,62.7,0.491
HOOK_97YO,2018-01-06 00:00:00,13.8,0.3616,239.51,Degradation,97,Pulga_Line,3.9,76.9,0.595
HOOK_97YO,2018-01-06 04:00:00,15.7,0.3618,233.84,Degradation,97,Pulga_Line,5.9,60.1,0.605
HOOK_97YO,2018-01-06 08:00:00,28.5,0.5087,253.0,Critical,97,Pulga_Line,7.2,51.5,0.813
HOOK_97YO,2018-01-06 12:00:00,27.17,0.2522,225.33,Degradation,97,Pulga_Line,7.6,65.4,0.63
HOOK_97YO,2018-01-06 16:00:00,18.85,0.2068,222.67,Degradation,97,Pulga_Line,7.0,59.5,0.533
HOOK_97YO,2018-01-06 20:00:00,11.26,0.1916,217.01,Warning,97,Pulga_Line,7.7,58.3,0.455
HOOK_97YO,2018-01-07 00:00:00,10.57,0.3071,229.52,Degradation,97,Pulga_Line,5.4,69.3,0.527
HOOK_97YO,2018-01-07 04:00:00,15.77,0.3233,236.87,Degradation,97,Pulga_Line,3.6,42.0,0.587
HOOK_97YO,2018-01-07 08:00:00,26.49,0.3994,242.07,Degradation,97,Pulga_Line,9.3,51.3,0.724
HOOK_97YO,2018-01-07 12:00:00,26.71,0.2715,229.5,Degradation,97,Pulga_Line,1.0,63.5,0.642
HOOK_97YO,2018-01-07 16:00:00,20.24,0.1697,218.23,Degradation,97,Pulga_Line,4.2,56.2,0.519
HOOK_97YO,2018-01-07 20:00:00,11.1,0.1947,220.76,Warning,97,Pulga_Line,4.3,67.1,0.46
HOOK_97YO,2018-01-08 00:00:00,12.5,0.2652,225.01,Degradation,97,Pulga_Line,1.8,73.2,0.515
HOOK_97YO,2018-01-08 04:00:00,19.33,0.3708,239.76,Degradation,97,Pulga_Line,3.7,77.6,0.646
HOOK_97YO,2018-01-08 08:00:00,24.73,0.362,234.75,Degradation,97,Pulga_Line,7.1,61.8,0.681
HOOK_97YO,2018-01-08 12:00:00,27.59,0.3119,232.9,Degradation,97,Pulga_Line,4.2,61.6,0.675
HOOK_97YO,2018-01-08 16:00:00,25.12,0.2479,226.38,Degradation,97,Pulga_Line,6.6,58.1,0.612
HOOK_97YO,2018-01-08 20:00:00,9.57,0.1954,220.74,Warning,97,Pulga_Line,6.1,77.8,0.447
HOOK_97YO,2018-01-09 00:00:00,10.34,0.2432,223.91,Warning,97,Pulga_Line,7.1,50.4,0.484
HOOK_97YO,2018-01-09 04:00:00,17.2,0.399,238.35,Degradation,97,Pulga_Line,5.0,72.3,0.642
HOOK_97YO,2018-01-09 08:00:00,21.44,0.2635,231.66,Degradation,97,Pulga_Line,5.9,48.4,0.596
HOOK_97YO,2018-01-09 12:00:00,26.58,0.3327,232.18,Degradation,97,Pulga_Line,4.8,59.2,0.677
HOOK_97YO,2018-01-09 16:00:00,22.51,0.3017,229.09,Degradation,97,Pulga_Line,9.0,72.6,0.623
HOOK_97YO,2018-01-09 20:00:00,12.49,0.2218,222.65,Warning,97,Pulga_Line,6.0,70.3,0.488
HOOK_97YO,2018-01-10 00:00:00,9.14,0.3322,231.47,Degradation,97,Pulga_Line,7.3,61.8,0.531
HOOK_97YO,2018-01-10 04:00:00,18.62,0.4377,246.29,Degradation,97,Pulga_Line,7.4,57.2,0.684
HOOK_97YO,2018-01-10 08:00:00,25.88,0.3353,233.66,Degradation,97,Pulga_Line,4.2,82.5,0.675
HOOK_97YO,2018-01-10 12:00:00,24.04,0.2533,227.3,Degradation,97,Pulga_Line,5.5,55.3,0.607
HOOK_97YO,2018-01-10 16:00:00,23.42,0.2397,224.81,Degradation,97,Pulga_Line,7.6,61.5,0.592
HOOK_97YO,2018-01-10 20:00:00,13.31,0.2758,227.4,Degradation,97,Pulga_Line,3.8,66.7,0.53
HOOK_97YO,2018-01-11 00:00:00,7.19,0.2239,222.48,Warning,97,Pulga_Line,5.8,45.8,0.445
HOOK_97YO,2018-01-11 04:00:00,14.51,0.3239,237.05,Degradation,97,Pulga_Line,3.9,45.7,0.577
HOOK_97YO,2018-01-11 08:00:00,29.11,0.4063,242.87,Degradation,97,Pulga_Line,6.8,51.1,0.75
HOOK_97YO,2018-01-11 12:00:00,25.58,0.3041,233.18,Degradation,97,Pulga_Line,8.1,55.1,0.654
HOOK_97YO,2018-01-11 16:00:00,20.41,0.2114,227.75,Degradation,97,Pulga_Line,5.2,54.2,0.554
HOOK_97YO,2018-01-11 20:00:00,13.74,0.2107,224.76,Warning,97,Pulga_Line,4.9,54.7,0.495
HOOK_97YO,2018-01-12 00:00:00,12.73,0.2784,231.21,Degradation,97,Pulga_Line,7.8,52.3,0.531
HOOK_97YO,2018-01-12 04:00:00,16.11,0.377,235.2,Degradation,97,Pulga_Line,5.1,78.1,0.618
HOOK_97YO,2018-01-12 08:00:00,26.28,0.394,243.29,Degradation,97,Pulga_Line,6.3,53.0,0.72
HOOK_97YO,2018-01-12 12:00:00,26.19,0.2954,228.85,Degradation,97,Pulga_Line,1.7,73.9,0.65
HOOK_97YO,2018-01-12 16:00:00,19.95,0.1784,219.69,Degradation,97,Pulga_Line,10.0,51.2,0.523
HOOK_97YO,2018-01-12 20:00:00,10.38,0.2297,219.85,Warning,97,Pulga_Line,9.3,73.8,0.472
HOOK_97YO,2018-01-13 00:00:00,9.41,0.2521,229.01,Warning,97,Pulga_Line,8.6,66.8,0.486
HOOK_97YO,2018-01-13 04:00:00,19.04,0.4672,244.61,Degradation,97,Pulga_Line,5.9,65.1,0.702
HOOK_97YO,2018-01-13 08:00:00,24.36,0.3383,232.11,Degradation,97,Pulga_Line,7.2,57.1,0.662
HOOK_97YO,2018-01-13 12:00:00,30.21,0.3252,234.95,Degradation,97,Pulga_Line,6.4,61.0,0.706
HOOK_97YO,2018-01-13 16:00:00,23.61,0.2821,226.65,Degradation,97,Pulga_Line,8.1,50.8,0.619
HOOK_97YO,2018-01-13 20:00:00,12.09,0.2407,224.69,Warning,97,Pulga_Line,6.6,61.2,0.498
HOOK_97YO,2018-01-14 00:00:00,12.42,0.3039,232.56,Degradation,97,Pulga_Line,6.4,39.2,0.544
HOOK_97YO,2018-01-14 04:00:00,28.68,0.5885,260.65,Critical,97,Pulga_Line,11.3,45.1,0.867
HOOK_97YO,2018-01-14 08:00:00,31.13,0.4137,248.98,Degradation,97,Pulga_Line,3.5,60.9,0.778
HOOK_97YO,2018-01-14 12:00:00,30.41,0.4265,254.07,Degradation,97,Pulga_Line,7.0,62.9,0.784
HOOK_97YO,2018-01-14 16:00:00,19.11,0.1722,216.79,Degradation,97,Pulga_Line,5.1,52.8,0.51
HOOK_97YO,2018-01-14 20:00:00,12.75,0.2304,221.45,Warning,97,Pulga_Line,6.8,51.4,0.494
HOOK_97YO,2018-01-15 00:00:00,12.74,0.3118,230.77,Degradation,97,Pulga_Line,5.1,55.7,0.549
HOOK_97YO,2018-01-15 04:00:00,15.0,0.3372,235.23,Degradation,97,Pulga_Line,5.8,71.8,0.587
HOOK_97YO,2018-01-15 08:00:00,25.37,0.354,242.13,Degradation,97,Pulga_Line,7.3,59.4,0.69
HOOK_97YO,2018-01-15 12:00:00,28.39,0.3065,230.57,Degradation,97,Pulga_Line,9.5,48.6,0.676
HOOK_97YO,2018-01-15 16:00:00,20.33,0.178,219.91,Degradation,97,Pulga_Line,4.5,66.4,0.527
HOOK_97YO,2018-01-15 20:00:00,16.22,0.2249,225.02,Degradation,97,Pulga_Line,5.4,57.8,0.524
HOOK_97YO,2018-01-16 00:00:00,8.88,0.2573,223.14,Warning,97,Pulga_Line,4.5,68.4,0.479
HOOK_97YO,2018-01-16 04:00:00,16.71,0.3697,238.86,Degradation,97,Pulga_Line,1.9,45.3,0.623
HOOK_97YO,2018-01-16 08:00:00,26.9,0.3554,235.59,Degradation,97,Pulga_Line,6.6,66.5,0.696
HOOK_97YO,2018-01-16 12:00:00,26.59,0.2729,227.72,Degradation,97,Pulga_Line,3.0,65.0,0.64
HOOK_97YO,2018-01-16 16:00:00,23.46,0.2411,226.52,Degradation,97,Pulga_Line,4.1,42.1,0.595
HOOK_97YO,2018-01-16 20:00:00,12.37,0.1839,220.84,Warning,97,Pulga_Line,5.2,47.3,0.464
HOOK_97YO,2018-01-17 00:00:00,8.71,0.2564,226.04,Warning,97,Pulga_Line,10.3,64.6,0.48
HOOK_97YO,2018-01-17 04:00:00,15.41,0.3298,239.6,Degradation,97,Pulga_Line,7.5,70.6,0.59
HOOK_97YO,2018-01-17 08:00:00,29.12,0.3652,240.32,Degradation,97,Pulga_Line,5.5,49.4,0.725
HOOK_97YO,2018-01-17 12:00:00,28.75,0.292,235.89,Degradation,97,Pulga_Line,1.9,55.2,0.677
HOOK_97YO,2018-01-17 16:00:00,21.29,0.2179,224.6,Degradation,97,Pulga_Line,2.5,59.4,0.562
HOOK_97YO,2018-01-17 20:00:00,14.8,0.2211,225.72,Degradation,97,Pulga_Line,7.6,60.7,0.51
HOOK_97YO,2018-01-18 00:00:00,13.9,0.3462,240.66,Degradation,97,Pulga_Line,6.8,66.7,0.588
HOOK_97YO,2018-01-18 04:00:00,22.22,0.4188,243.24,Degradation,97,Pulga_Line,8.8,61.6,0.7
HOOK_97YO,2018-01-18 08:00:00,28.16,0.4135,247.74,Degradation,97,Pulga_Line,7.9,67.4,0.752
HOOK_97YO,2018-01-18 12:00:00,29.47,0.3036,235.04,Degradation,97,Pulga_Line,7.8,84.0,0.688
HOOK_97YO,2018-01-18 16:00:00,18.76,0.2085,218.37,Degradation,97,Pulga_Line,6.3,59.2,0.529
HOOK_97YO,2018-01-18 20:00:00,13.18,0.236,225.38,Degradation,97,Pulga_Line,5.0,65.5,0.505
HOOK_97YO,2018-01-19 00:00:00,16.47,0.3404,232.22,Degradation,97,Pulga_Line,6.2,60.0,0.597
HOOK_97YO,2018-01-19 04:00:00,17.44,0.3919,240.43,Degradation,97,Pulga_Line,7.1,51.5,0.643
HOOK_97YO,2018-01-19 08:00:00,25.57,0.3696,239.56,Degradation,97,Pulga_Line,2.6,62.3,0.697
HOOK_97YO,2018-01-19 12:00:00,28.17,0.2686,230.35,Degradation,97,Pulga_Line,7.4,44.3,0.653
HOOK_97YO,2018-01-19 16:00:00,20.23,0.2119,223.08,Degradation,97,Pulga_Line,7.1,71.7,0.548
HOOK_97YO,2018-01-19 20:00:00,12.43,0.244,228.63,Degradation,97,Pulga_Line,3.6,37.3,0.506
HOOK_97YO,2018-01-20 00:00:00,13.37,0.3878,239.01,Degradation,97,Pulga_Line,5.4,70.3,0.605
HOOK_97YO,2018-01-20 04:00:00,20.25,0.3809,239.61,Degradation,97,Pulga_Line,6.5,51.0,0.659
HOOK_97YO,2018-01-20 08:00:00,28.55,0.4112,242.41,Degradation,97,Pulga_Line,8.3,45.9,0.748
HOOK_97YO,2018-01-20 12:00:00,27.78,0.2285,229.31,Degradation,97,Pulga_Line,5.4,69.8,0.627
HOOK_97YO,2018-01-20 16:00:00,22.05,0.2626,230.69,Degradation,97,Pulga_Line,5.7,52.9,0.599
HOOK_97YO,2018-01-20 20:00:00,14.34,0.2002,224.75,Warning,97,Pulga_Line,4.8,54.2,0.494
HOOK_97YO,2018-01-21 00:00:00,12.1,0.3361,241.62,Degradation,97,Pulga_Line,3.7,64.0,0.568
HOOK_97YO,2018-01-21 04:00:00,20.24,0.3444,241.55,Degradation,97,Pulga_Line,4.0,41.7,0.641
HOOK_97YO,2018-01-21 08:00:00,24.59,0.3546,234.37,Degradation,97,Pulga_Line,4.6,35.9,0.675
HOOK_97YO,2018-01-21 12:00:00,27.2,0.2386,224.7,Degradation,97,Pulga_Line,5.7,59.1,0.622
HOOK_97YO,2018-01-21 16:00:00,23.63,0.2407,230.39,Degradation,97,Pulga_Line,4.2,55.9,0.6
HOOK_97YO,2018-01-21 20:00:00,12.74,0.231,223.13,Warning,97,Pulga_Line,4.9,49.0,0.496
HOOK_97YO,2018-01-22 00:00:00,13.86,0.3101,231.95,Degradation,97,Pulga_Line,6.0,58.5,0.559
HOOK_97YO,2018-01-22 04:00:00,18.96,0.3568,238.17,Degradation,97,Pulga_Line,3.0,48.4,0.634
HOOK_97YO,2018-01-22 08:00:00,25.77,0.319,235.24,Degradation,97,Pulga_Line,5.3,48.6,0.666
HOOK_97YO,2018-01-22 12:00:00,29.29,0.306,239.3,Degradation,97,Pulga_Line,6.4,60.8,0.693
HOOK_97YO,2018-01-22 16:00:00,19.89,0.1763,219.74,Degradation,97,Pulga_Line,6.6,70.4,0.522
HOOK_97YO,2018-01-22 20:00:00,14.36,0.2659,232.15,Degradation,97,Pulga_Line,7.5,76.5,0.538
HOOK_97YO,2018-01-23 00:00:00,13.66,0.3032,229.03,Degradation,97,Pulga_Line,5.4,54.0,0.55
HOOK_97YO,2018-01-23 04:00:00,19.01,0.3713,241.5,Degradation,97,Pulga_Line,7.2,38.9,0.645
HOOK_97YO,2018-01-23 08:00:00,27.84,0.3514,248.62,Degradation,97,Pulga_Line,3.6,60.7,0.715
HOOK_97YO,2018-01-23 12:00:00,29.6,0.3026,238.88,Degradation,97,Pulga_Line,4.7,57.6,0.693
HOOK_97YO,2018-01-23 16:00:00,22.5,0.2632,226.8,Degradation,97,Pulga_Line,5.5,39.3,0.599
HOOK_97YO,2018-01-23 20:00:00,22.1,0.3812,246.55,Degradation,97,Pulga_Line,9.1,43.6,0.682
HOOK_97YO,2018-01-24 00:00:00,13.26,0.2517,225.88,Degradation,97,Pulga_Line,7.8,58.7,0.515
HOOK_97YO,2018-01-24 04:00:00,19.84,0.3414,237.17,Degradation,97,Pulga_Line,5.3,48.6,0.631
HOOK_97YO,2018-01-24 08:00:00,30.19,0.4219,246.88,Degradation,97,Pulga_Line,7.5,56.1,0.772
HOOK_97YO,2018-01-24 12:00:00,30.36,0.3093,234.7,Degradation,97,Pulga_Line,9.7,58.0,0.698
HOOK_97YO,2018-01-24 16:00:00,24.22,0.2009,220.4,Degradation,97,Pulga_Line,8.4,58.2,0.572
HOOK_97YO,2018-01-24 20:00:00,13.35,0.2259,224.27,Warning,97,Pulga_Line,8.5,75.1,0.5
HOOK_97YO,2018-01-25 00:00:00,12.93,0.3306,235.08,Degradation,97,Pulga_Line,5.5,62.1,0.565
HOOK_97YO,2018-01-25 04:00:00,19.46,0.3951,245.66,Degradation,97,Pulga_Line,5.2,50.8,0.667
HOOK_97YO,2018-01-25 08:00:00,27.07,0.3109,238.88,Degradation,97,Pulga_Line,3.3,46.3,0.676
HOOK_97YO,2018-01-25 12:00:00,33.62,0.4011,244.86,Degradation,97,Pulga_Line,5.0,42.8,0.787
HOOK_97YO,2018-01-25 16:00:00,21.51,0.2131,224.64,Degradation,97,Pulga_Line,4.9,62.9,0.561
HOOK_97YO,2018-01-25 20:00:00,16.0,0.2532,229.11,Degradation,97,Pulga_Line,6.8,57.2,0.542
